"ward_id","ward","category","total_10_year","year"
1,"Etobicoke North","Growth Related",37873,2021
1,"Etobicoke North","Service Improvement and Enhancement",6361,2021
2,"Etobicoke Centre","Growth Related",69025,2021
2,"Etobicoke Centre","Service Improvement and Enhancement",20116,2021
2,"Etobicoke Centre","State of Good Repair",5112,2021
3,"Etobicoke-Lakeshore","Growth Related",85358.9,2021
3,"Etobicoke-Lakeshore","Service Improvement and Enhancement",14945,2021
3,"Etobicoke-Lakeshore","State of Good Repair",14014,2021
4,"Parkdale-High Park","Growth Related",121656,2021
4,"Parkdale-High Park","Service Improvement and Enhancement",6898.8,2021
4,"Parkdale-High Park","State of Good Repair",13206,2021
5,"York South-Weston","Growth Related",60700,2021
5,"York South-Weston","Service Improvement and Enhancement",12870,2021
5,"York South-Weston","State of Good Repair",19521,2021
6,"York Centre","Growth Related",42255,2021
6,"York Centre","Service Improvement and Enhancement",4785,2021
6,"York Centre","State of Good Repair",11512,2021
7,"Humber River-Black Creek","Growth Related",73939,2021
7,"Humber River-Black Creek","Service Improvement and Enhancement",16552,2021
7,"Humber River-Black Creek","State of Good Repair",11852,2021
8,"Eglinton-Lawrence","Growth Related",71581,2021
8,"Eglinton-Lawrence","Service Improvement and Enhancement",18014,2021
8,"Eglinton-Lawrence","State of Good Repair",32305,2021
9,"Davenport","Growth Related",62675,2021
9,"Davenport","Service Improvement and Enhancement",14795,2021
9,"Davenport","State of Good Repair",219,2021
10,"Spadina-Fort York","Growth Related",194297,2021
10,"Spadina-Fort York","Service Improvement and Enhancement",153274,2021
10,"Spadina-Fort York","State of Good Repair",125384.82,2021
11,"University-Rosedale","Growth Related",111228,2021
11,"University-Rosedale","Service Improvement and Enhancement",20919,2021
11,"University-Rosedale","State of Good Repair",25707,2021
12,"Toronto-St. Pauls","Growth Related",16527,2021
12,"Toronto-St. Pauls","Service Improvement and Enhancement",24734,2021
12,"Toronto-St. Pauls","State of Good Repair",20935,2021
13,"Toronto Centre","Growth Related",54216,2021
13,"Toronto Centre","Service Improvement and Enhancement",185340,2021
13,"Toronto Centre","State of Good Repair",74303.6,2021
14,"Toronto-Danforth","Growth Related",132336,2021
14,"Toronto-Danforth","Service Improvement and Enhancement",2410,2021
14,"Toronto-Danforth","State of Good Repair",24517.43,2021
15,"Don Valley West","Growth Related",6200,2021
15,"Don Valley West","Service Improvement and Enhancement",4934,2021
15,"Don Valley West","State of Good Repair",3875,2021
16,"Don Valley East","Growth Related",7410,2021
16,"Don Valley East","Service Improvement and Enhancement",85132,2021
16,"Don Valley East","State of Good Repair",5118.01,2021
17,"Don Valley North","Growth Related",213932,2021
17,"Don Valley North","Service Improvement and Enhancement",909,2021
17,"Don Valley North","State of Good Repair",3323.8,2021
18,"Willowdale","Growth Related",23915,2021
18,"Willowdale","State of Good Repair",8003.2,2021
19,"Beaches-East York","Growth Related",23963,2021
19,"Beaches-East York","Service Improvement and Enhancement",48435.55,2021
19,"Beaches-East York","State of Good Repair",3236,2021
20,"Scarborough Southwest","Growth Related",39410,2021
20,"Scarborough Southwest","Service Improvement and Enhancement",2679.5,2021
20,"Scarborough Southwest","State of Good Repair",17651,2021
21,"Scarborough Centre","Growth Related",5337,2021
21,"Scarborough Centre","Service Improvement and Enhancement",13147,2021
21,"Scarborough Centre","State of Good Repair",40786.75,2021
22,"Scarborough-Agincourt","Growth Related",7199,2021
22,"Scarborough-Agincourt","Service Improvement and Enhancement",4020,2021
22,"Scarborough-Agincourt","State of Good Repair",484,2021
23,"Scarborough-North","Growth Related",700,2021
23,"Scarborough-North","Service Improvement and Enhancement",4722,2021
24,"Scarborough-Guildwood","Growth Related",61675,2021
24,"Scarborough-Guildwood","Service Improvement and Enhancement",6306,2021
24,"Scarborough-Guildwood","State of Good Repair",4341,2021
25,"Scarborough-Rouge Park","Growth Related",63254,2021
25,"Scarborough-Rouge Park","Service Improvement and Enhancement",7023,2021
25,"Scarborough-Rouge Park","State of Good Repair",2762,2021
1,"Etobicoke North","Growth Related",45948,2022
1,"Etobicoke North","Service Improvement and Enhancement",6462,2022
1,"Etobicoke North","State of Good Repair",1353,2022
2,"Etobicoke Centre","Growth Related",71518,2022
2,"Etobicoke Centre","Service Improvement and Enhancement",410076,2022
2,"Etobicoke Centre","State of Good Repair",6712,2022
3,"Etobicoke-Lakeshore","Growth Related",104158,2022
3,"Etobicoke-Lakeshore","Service Improvement and Enhancement",19376,2022
3,"Etobicoke-Lakeshore","State of Good Repair",17790,2022
4,"Parkdale-High Park","Growth Related",155486,2022
4,"Parkdale-High Park","Service Improvement and Enhancement",3423,2022
4,"Parkdale-High Park","State of Good Repair",6176,2022
5,"York South-Weston","Growth Related",62160,2022
5,"York South-Weston","Service Improvement and Enhancement",13987,2022
5,"York South-Weston","State of Good Repair",24146,2022
6,"York Centre","Growth Related",21928,2022
6,"York Centre","Service Improvement and Enhancement",8358,2022
6,"York Centre","State of Good Repair",11597,2022
7,"Humber River-Black Creek","Growth Related",75157,2022
7,"Humber River-Black Creek","Service Improvement and Enhancement",11382,2022
7,"Humber River-Black Creek","State of Good Repair",8209,2022
8,"Eglinton-Lawrence","Growth Related",94443,2022
8,"Eglinton-Lawrence","Service Improvement and Enhancement",25570,2022
8,"Eglinton-Lawrence","State of Good Repair",36435,2022
9,"Davenport","Growth Related",84652,2022
9,"Davenport","Service Improvement and Enhancement",14351,2022
9,"Davenport","State of Good Repair",2419,2022
10,"Spadina-Fort York","Growth Related",247200,2022
10,"Spadina-Fort York","Service Improvement and Enhancement",157625,2022
10,"Spadina-Fort York","State of Good Repair",151806,2022
11,"University-Rosedale","Growth Related",120007,2022
11,"University-Rosedale","Service Improvement and Enhancement",1536,2022
11,"University-Rosedale","State of Good Repair",30644,2022
12,"Toronto-St. Pauls","Growth Related",14811,2022
12,"Toronto-St. Pauls","Service Improvement and Enhancement",30489,2022
12,"Toronto-St. Pauls","State of Good Repair",22591,2022
13,"Toronto Centre","Growth Related",60694.2,2022
13,"Toronto Centre","Service Improvement and Enhancement",750097,2022
13,"Toronto Centre","State of Good Repair",56894,2022
14,"Toronto-Danforth","Growth Related",192697,2022
14,"Toronto-Danforth","Service Improvement and Enhancement",11632,2022
14,"Toronto-Danforth","State of Good Repair",21531,2022
15,"Don Valley West","Growth Related",7033,2022
15,"Don Valley West","Service Improvement and Enhancement",8330,2022
15,"Don Valley West","State of Good Repair",2137,2022
16,"Don Valley East","Growth Related",25070,2022
16,"Don Valley East","Service Improvement and Enhancement",86300,2022
16,"Don Valley East","State of Good Repair",3004,2022
17,"Don Valley North","Growth Related",23293,2022
17,"Don Valley North","Service Improvement and Enhancement",1753,2022
17,"Don Valley North","State of Good Repair",4009,2022
18,"Willowdale","Growth Related",47598,2022
18,"Willowdale","Service Improvement and Enhancement",1650,2022
18,"Willowdale","State of Good Repair",23707,2022
19,"Beaches-East York","Growth Related",30553,2022
19,"Beaches-East York","Service Improvement and Enhancement",41239,2022
19,"Beaches-East York","State of Good Repair",9414,2022
20,"Scarborough Southwest","Growth Related",50364,2022
20,"Scarborough Southwest","Service Improvement and Enhancement",5279,2022
20,"Scarborough Southwest","State of Good Repair",10381,2022
21,"Scarborough Centre","Growth Related",75230,2022
21,"Scarborough Centre","Service Improvement and Enhancement",10801,2022
21,"Scarborough Centre","State of Good Repair",52136,2022
22,"Scarborough-Agincourt","Growth Related",8887,2022
22,"Scarborough-Agincourt","Service Improvement and Enhancement",10309,2022
22,"Scarborough-Agincourt","State of Good Repair",758,2022
23,"Scarborough-North","Growth Related",166075,2022
23,"Scarborough-North","Service Improvement and Enhancement",4251,2022
23,"Scarborough-North","State of Good Repair",1010,2022
24,"Scarborough-Guildwood","Growth Related",61658,2022
24,"Scarborough-Guildwood","Service Improvement and Enhancement",5359,2022
24,"Scarborough-Guildwood","State of Good Repair",3847,2022
25,"Scarborough-Rouge Park","Growth Related",75923.4,2022
25,"Scarborough-Rouge Park","Service Improvement and Enhancement",6939,2022
25,"Scarborough-Rouge Park","State of Good Repair",1322,2022
1,"Etobicoke North","Growth Related",65750,2023
1,"Etobicoke North","Service Improvement and Enhancement",5142,2023
1,"Etobicoke North","State of Good Repair",3271.47,2023
2,"Etobicoke Centre","Growth Related",89582,2023
2,"Etobicoke Centre","Service Improvement and Enhancement",37154,2023
2,"Etobicoke Centre","State of Good Repair",5526,2023
3,"Etobicoke-Lakeshore","Growth Related",125438,2023
3,"Etobicoke-Lakeshore","Service Improvement and Enhancement",410808.53,2023
3,"Etobicoke-Lakeshore","State of Good Repair",2926.85,2023
4,"Parkdale-High Park","Growth Related",208205,2023
4,"Parkdale-High Park","Service Improvement and Enhancement",8615.93,2023
4,"Parkdale-High Park","State of Good Repair",5976.8,2023
5,"York South-Weston","Growth Related",73085,2023
5,"York South-Weston","Service Improvement and Enhancement",9442,2023
5,"York South-Weston","State of Good Repair",2759,2023
6,"York Centre","Growth Related",34121,2023
6,"York Centre","Service Improvement and Enhancement",1000,2023
6,"York Centre","State of Good Repair",10945.3,2023
7,"Humber River-Black Creek","Growth Related",118597,2023
7,"Humber River-Black Creek","Service Improvement and Enhancement",11488,2023
7,"Humber River-Black Creek","State of Good Repair",5371.5,2023
8,"Eglinton-Lawrence","Growth Related",123694,2023
8,"Eglinton-Lawrence","Service Improvement and Enhancement",18793,2023
8,"Eglinton-Lawrence","State of Good Repair",3733.45,2023
9,"Davenport","Growth Related",101395,2023
9,"Davenport","Service Improvement and Enhancement",9756,2023
9,"Davenport","State of Good Repair",456,2023
10,"Spadina-Fort York","Growth Related",419000,2023
10,"Spadina-Fort York","Service Improvement and Enhancement",172023,2023
10,"Spadina-Fort York","State of Good Repair",358645.08,2023
11,"University-Rosedale","Growth Related",170416,2023
11,"University-Rosedale","Service Improvement and Enhancement",1383801,2023
11,"University-Rosedale","State of Good Repair",67948.4,2023
12,"Toronto-St. Pauls","Growth Related",49249,2023
12,"Toronto-St. Pauls","Service Improvement and Enhancement",3729,2023
12,"Toronto-St. Pauls","State of Good Repair",22137,2023
13,"Toronto Centre","Growth Related",86698,2023
13,"Toronto Centre","Service Improvement and Enhancement",749035,2023
13,"Toronto Centre","State of Good Repair",54964,2023
14,"Toronto-Danforth","Growth Related",167132,2023
14,"Toronto-Danforth","Service Improvement and Enhancement",10340.5,2023
14,"Toronto-Danforth","State of Good Repair",21163.55,2023
15,"Don Valley West","Growth Related",5570,2023
15,"Don Valley West","Service Improvement and Enhancement",7480,2023
15,"Don Valley West","State of Good Repair",1912,2023
16,"Don Valley East","Growth Related",20705,2023
16,"Don Valley East","Service Improvement and Enhancement",136142,2023
16,"Don Valley East","State of Good Repair",3754,2023
17,"Don Valley North","Growth Related",8544,2023
17,"Don Valley North","Service Improvement and Enhancement",2561,2023
17,"Don Valley North","State of Good Repair",3734.94,2023
18,"Willowdale","Growth Related",61210,2023
18,"Willowdale","Service Improvement and Enhancement",2000,2023
18,"Willowdale","State of Good Repair",21400.47,2023
19,"Beaches-East York","Growth Related",33965,2023
19,"Beaches-East York","Service Improvement and Enhancement",31699.01,2023
19,"Beaches-East York","State of Good Repair",3070,2023
20,"Scarborough Southwest","Growth Related",60000,2023
20,"Scarborough Southwest","Service Improvement and Enhancement",7001,2023
20,"Scarborough Southwest","State of Good Repair",2706,2023
21,"Scarborough Centre","Growth Related",93335,2023
21,"Scarborough Centre","Service Improvement and Enhancement",11174.5,2023
21,"Scarborough Centre","State of Good Repair",38696.5,2023
22,"Scarborough-Agincourt","Growth Related",11490,2023
22,"Scarborough-Agincourt","Service Improvement and Enhancement",12893,2023
22,"Scarborough-Agincourt","State of Good Repair",292.13,2023
23,"Scarborough-North","Growth Related",171615,2023
23,"Scarborough-North","Service Improvement and Enhancement",2981,2023
23,"Scarborough-North","State of Good Repair",485.5,2023
24,"Scarborough-Guildwood","Growth Related",52375,2023
24,"Scarborough-Guildwood","Service Improvement and Enhancement",6839,2023
24,"Scarborough-Guildwood","State of Good Repair",2677.1,2023
25,"Scarborough-Rouge Park","Growth Related",85170.8,2023
25,"Scarborough-Rouge Park","Service Improvement and Enhancement",25883,2023
25,"Scarborough-Rouge Park","State of Good Repair",131930,2023
1,"Etobicoke North","Growth Related",36418,2024
1,"Etobicoke North","Service Improvement and Enhancement",11153.51,2024
1,"Etobicoke North","State of Good Repair",3072.46,2024
2,"Etobicoke Centre","Growth Related",116480,2024
2,"Etobicoke Centre","Service Improvement and Enhancement",36701,2024
2,"Etobicoke Centre","State of Good Repair",4835,2024
3,"Etobicoke-Lakeshore","Growth Related",136205,2024
3,"Etobicoke-Lakeshore","Service Improvement and Enhancement",375850.87,2024
3,"Etobicoke-Lakeshore","State of Good Repair",3559.25,2024
4,"Parkdale-High Park","Growth Related",201522,2024
4,"Parkdale-High Park","Service Improvement and Enhancement",9910,2024
4,"Parkdale-High Park","State of Good Repair",8134.1,2024
5,"York South-Weston","Growth Related",96959.5,2024
5,"York South-Weston","Service Improvement and Enhancement",9314,2024
5,"York South-Weston","State of Good Repair",3023,2024
6,"York Centre","Growth Related",29405,2024
6,"York Centre","Service Improvement and Enhancement",1320,2024
6,"York Centre","State of Good Repair",8847.6,2024
7,"Humber River-Black Creek","Growth Related",144014,2024
7,"Humber River-Black Creek","Service Improvement and Enhancement",18718,2024
7,"Humber River-Black Creek","State of Good Repair",5378,2024
8,"Eglinton-Lawrence","Growth Related",175709,2024
8,"Eglinton-Lawrence","Service Improvement and Enhancement",17180,2024
8,"Eglinton-Lawrence","State of Good Repair",5502.45,2024
9,"Davenport","Growth Related",92668,2024
9,"Davenport","Service Improvement and Enhancement",8875,2024
9,"Davenport","State of Good Repair",219,2024
10,"Spadina-Fort York","Growth Related",387505,2024
10,"Spadina-Fort York","Service Improvement and Enhancement",167545.95,2024
10,"Spadina-Fort York","State of Good Repair",331255.9,2024
11,"University-Rosedale","Growth Related",187826.39,2024
11,"University-Rosedale","Service Improvement and Enhancement",1192635,2024
11,"University-Rosedale","State of Good Repair",59395.8,2024
12,"Toronto-St. Pauls","Growth Related",63274,2024
12,"Toronto-St. Pauls","Service Improvement and Enhancement",3379,2024
12,"Toronto-St. Pauls","State of Good Repair",23349,2024
13,"Toronto Centre","Growth Related",121840,2024
13,"Toronto Centre","Service Improvement and Enhancement",700672,2024
13,"Toronto Centre","State of Good Repair",27541,2024
14,"Toronto-Danforth","Growth Related",350476,2024
14,"Toronto-Danforth","Service Improvement and Enhancement",10103.25,2024
14,"Toronto-Danforth","State of Good Repair",24609.1,2024
15,"Don Valley West","Growth Related",6160,2024
15,"Don Valley West","Service Improvement and Enhancement",8237,2024
15,"Don Valley West","State of Good Repair",2250,2024
16,"Don Valley East","Growth Related",22105,2024
16,"Don Valley East","Service Improvement and Enhancement",169150,2024
16,"Don Valley East","State of Good Repair",7213,2024
17,"Don Valley North","Growth Related",4189,2024
17,"Don Valley North","Service Improvement and Enhancement",3366,2024
17,"Don Valley North","State of Good Repair",3834.08,2024
18,"Willowdale","Growth Related",57198,2024
18,"Willowdale","Service Improvement and Enhancement",1740,2024
18,"Willowdale","State of Good Repair",24570,2024
19,"Beaches-East York","Growth Related",32733,2024
19,"Beaches-East York","Service Improvement and Enhancement",52702,2024
19,"Beaches-East York","State of Good Repair",3072,2024
20,"Scarborough Southwest","Growth Related",46500,2024
20,"Scarborough Southwest","Service Improvement and Enhancement",12351,2024
20,"Scarborough Southwest","State of Good Repair",2619,2024
21,"Scarborough Centre","Growth Related",77799.46,2024
21,"Scarborough Centre","Service Improvement and Enhancement",16244,2024
21,"Scarborough Centre","State of Good Repair",21284,2024
22,"Scarborough-Agincourt","Growth Related",9001,2024
22,"Scarborough-Agincourt","Service Improvement and Enhancement",11893,2024
22,"Scarborough-Agincourt","State of Good Repair",310.26,2024
23,"Scarborough-North","Growth Related",175825,2024
23,"Scarborough-North","Service Improvement and Enhancement",1650,2024
23,"Scarborough-North","State of Good Repair",479,2024
24,"Scarborough-Guildwood","Growth Related",66060,2024
24,"Scarborough-Guildwood","Service Improvement and Enhancement",5796,2024
24,"Scarborough-Guildwood","State of Good Repair",2641.1,2024
25,"Scarborough-Rouge Park","Growth Related",67950.2,2024
25,"Scarborough-Rouge Park","Service Improvement and Enhancement",33710,2024
25,"Scarborough-Rouge Park","State of Good Repair",163595,2024
